classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
577,Ceratium massiliense,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
578,Ceratium candelabrum,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
579,Ceratium horridum,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
580,Dinophysis hastata,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
581,Centrodinium maximum,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
582,Ornithocercus,half sphere,no,no,,(pi/12)*d^3,((3/4)*pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length^3,((3/4)*pi*(length^2)),frontal,y
583,Oxytoxum variabile,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
584,Oxytoxum longiceps,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
585,Phalacroma doryphorum,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
586,Amphisolenia bidentata,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
587,Pyrocystis hamulus,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
588,Pyrocystis obtusa,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
590,Gonyaulax,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
591,Gonyaulacaceae,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
592,Gonyaulax polygramma,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
593,Histioneis elongata,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
594,Histioneis costata,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
595,Glenodiniaceae,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
597,Oxytoxum tesselatum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
598,Oxytoxum laticeps,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
599,Oxytoxum crassum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
600,Striatella,prism on elliptic base,b,hd*a,0.165714286,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
606,Paralia,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,y
607,Paralia,cylinder,h,hd*d,0.463923809,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
608,Paralia sulcata,cylinder,h,hd*d,0.463923809,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,n
609,Paralia sulcata,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,y
610,Pleurosigma angulatum,prism on parallelogram base,c,hd*a,0.01604103,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
618,Gyrosigma,prism on parallelogram base,c,hd*a,0.087007464,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
619,Gyrosigma balticum,prism on parallelogram base,c,hd*a,0.087007464,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
620,Diploneis,prism on elliptic base,c,hd*a,0.326666667,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
621,Diploneis crabro,prism on elliptic base,c,hd*a,0.326666667,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
623,Diadesmidaceae,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
624,Luticola,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
625,Achnanthaceae,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
627,Achnanthaceae,prism on elliptic base,b,hd*a,0.341666667,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,n
631,Proboscia alata,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
632,Proboscia indica,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
639,Rhizosolenia decipiens,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
640,Achnanthes,prism on elliptic base,b,hd*a,0.341666667,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
644,Climacosphenia,prism on elliptic base+parallelepiped,see note,see note,,c*((a1*b1)+((pi/4)*a*b)),c*((2*a1)+b1+((pi/2)*a)+((pi/2)*b))+(2*a1*b1)+((pi/2)*a*b),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
645,Rhoicosphenia abbreviata,gomphonemoid,see note,see note,,((h*b)/4*((h+(((pi/4)-1)*b)))*asin((c/(2*h)))),(b/2)*((2*h)+(pi*h*(asin(c/(2*h))))+(((pi/2)-2)*b)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),unique,y
648,Terpsinoe,parallelepiped+6 halph cylinder ,see note,see note,,(a*b*c)+(3*(pi*(d^2)*h)),2*(c*b)+2*(a*b)+6*((pi*d^2)+(pi*d*h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
649,Terpsinoe musica,parallelepiped+6 halph cylinder ,see note,see note,,(a*b*c)+(3*(pi*(d^2)*h)),2*(c*b)+2*(a*b)+6*((pi*d^2)+(pi*d*h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
650,Rhizosolenia setigera,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
651,Guinardia delicatula,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
652,Rhizosolenia bergonii,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
653,Rhizosolenia,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
654,Rhizosolenia styliformis,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
656,Rhizosolenia imbricata,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
658,Guinardia striata,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
659,Pseudosolenia calcar-avis,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
660,Synedra,parallelepiped,c,hd*a,0.4,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,y
665,Toxarium undulatum,2 parallelepiped+elliptic prism,see note,see note,,(pi/4)*a*b*c+(a1*b1*c)+(a2*b2*c),(pi/2)*(a*b+c*(a+b))+(2*(a1*b1))+(2*(a1*c))+(2*(a2*b2))+(2*(a2*c)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
666,Thalassionema synedriforme ,parallelepiped,c,hd*a,0.079839844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,n
668,Campylodiscus,prism on elliptic base,c,hd*a,0.333333333,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
669,Campylodiscus biangulatus,prism on elliptic base,c,hd*a,0.333333333,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
670,Tabellaria,parallelepiped,c,hd*a,0.332393484,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,y
671,Tabellaria,parallelepiped,b,hd*a,0.168076441,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,n
679,Lauderia annulata,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,y
680,Plagiotropis,prism on elliptic base,c,hd*a,0.370909091,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
685,Meuniera membranacea,prism on elliptic base,b,hd*a,0.50437895,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
686,Meuniera membranacea,prism on elliptic base,c,hd*a,0.530387777,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,n
689,Climacodium frauenfeldianum,prism on elliptic base+4cones,b,"mean(c(d1,d2,d3,d4))",,((pi/4)*a*b*c)+((pi/12)*(d1^2)*h1)+((pi/12)*(d2^2)*h2)+((pi/12)*(d3^2)*h3)+((pi/12)*(d4^2)*h4),((pi/2)*((a*b)+(c*(a+b))))+((((pi/4)*d1)*(sqrt((d1^2)+(4*(h1^2)))))-((pi/4)*(d1^2)))+((((pi/4)*d2)*(sqrt((d2^2)+(4*(h2^2)))))-((pi/4)*(d2^2)))+((((pi/4)*d3)*(sqrt((d3^2)+(4*(h3^2)))))-((pi/4)*(d4^2)))+((((pi/4)*d4)*(sqrt((d4^2)+(4*(h4^2)))))-((pi/4)*(d4^2))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
690,Entomoneis alata,prism on elliptic base,b,hd*a,0.370909091,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,n
691,Naviculaceae,prism on elliptic base,b,hd*a,0.370909091,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
692,Membraneis,prism on elliptic base,b,hd*a,0.370909091,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
693,Amphiprora,prism on elliptic base,b,hd*a,0.370909091,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
694,Tropidoneis,prism on elliptic base,b,hd*a,0.370909091,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
698,Pinnularia,parallelepiped,no,no,,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
699,Pinnularia lata,parallelepiped,no,no,,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
700,Hemiaulus,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
701,Hemiaulus hauckii,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
702,Hemiaulus sinensis,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
703,Hemiaulus membranaceus,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
710,Pseudo-nitzschia seriata,prism on parallelogram base,b,hd*a,0.070747067,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(1/2)*length*b*width,((length*b)+((sqrt((length^2)+(b^2)))/4)*width),girdle,y
711,Pseudo-nitzschia delicatissima,prism on parallelogram base,b,hd*a,0.035286195,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(1/2)*length*b*width,((length*b)+((sqrt((length^2)+(b^2)))/4)*width),girdle,y
717,Pseudo-nitzschia pungens,prism on parallelogram base,b,hd*a,0.040895563,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(1/2)*length*b*width,((length*b)+((sqrt((length^2)+(b^2)))/4)*width),girdle,y
719,Pseudo-nitzschia pseudodelicatissima,prism on parallelogram base,b,hd*a,0.025,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(1/2)*length*b*width,((length*b)+((sqrt((length^2)+(b^2)))/4)*width),girdle,y
729,Hemiaulus hauckii,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,n
730,Nitzschia incerta,prism on parallelogram base,c,hd*a,0.190654762,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
731,Nitzschia sigmoidea,prism on parallelogram base,b,hd*a,0.1,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(1/2)*length*b*width,((length*b)+((sqrt((length^2)+(b^2)))/4)*width),girdle,y
732,Nitzschia acicularis,prism on parallelogram base,c,hd*a,0.190654762,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
740,Thalassionema nitzschioides,parallelepiped,b,hd*a,0.087339844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,y
742,Thalassionema nitzschioides,parallelepiped,c,hd*a,0.079839844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),valvar,n
743,Thalassionema pseudonitzschioides,parallelepiped,b,hd*a,0.087339844,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,length*b*width,((2*(length*b))+(2*(b*width))+(2*(length*width))),girdle,y
750,Podocystis,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
757,Auliscus sculptus,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,y
760,Stephanopyxis palmeriana,cylinder+2 half spheres,no,no,,(pi*(d^2)*((h/4)+(d/6))),(pi*d*(d+h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi*(width^2)*((length/4)+(width/6))),(pi*width*(width+length)),girdle,y
